,K,batch_size,beta,epochs,scheduler_type,step_size,gamma,best_train_accuracy,best_eval_accuracy,best_train_loss,best_eval_loss,std_train_loss,std_eval_loss,mean_epoch_time,status
splm_optimizer__hinge_loss__2021_06_24__13_33_07,50,1000,10,20,step_beta,3,6,0.6204000000000001,0.5725,0.7823073267936707,0.8065581917762756,0.023790124605785296,0.019150776294037858,15.246379601955415,successful
splm_optimizer__hinge_loss__2021_06_24__13_54_25,50,1000,10,20,step_beta,4,10,0.6238,0.5760000000000001,0.7153651714324951,0.7552036046981812,0.04477437104437296,0.036070186358769796,15.254706001281738,successful
splm_optimizer__hinge_loss__2021_06_24__14_00_00,50,1000,10,20,step_beta,4,1,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.302668225765228,successful
splm_optimizer__hinge_loss__2021_06_24__14_05_36,50,1000,10,20,step_beta,4,2,0.6172,0.5695,0.21949630975723267,0.2815474569797516,0.2363446295465741,0.22170334522445784,15.304711055755615,successful
splm_optimizer__hinge_loss__2021_06_24__14_11_13,50,1000,10,20,step_beta,4,3,0.6172,0.571,0.45734187960624695,0.533997654914856,0.1349964764093194,0.11538650648341156,15.008541011810303,successful
splm_optimizer__hinge_loss__2021_06_24__14_16_43,50,1000,10,20,step_beta,4,4,0.6172,0.5720000000000001,0.5926492214202881,0.6543639898300171,0.0868432952314221,0.07167469431702182,15.12730370759964,successful
splm_optimizer__hinge_loss__2021_06_24__14_22_16,50,1000,10,20,step_beta,4,5,0.6202000000000001,0.5760000000000001,0.6458425521850586,0.6997597813606262,0.06836952514228892,0.05537533844893816,14.970228922367095,successful
splm_optimizer__hinge_loss__2021_06_24__14_27_45,50,1000,10,20,step_beta,4,6,0.6204,0.5765,0.6734583377838135,0.7223114371299744,0.058849915811562535,0.047393978030448286,15.544493520259858,successful
splm_optimizer__hinge_loss__2021_06_24__14_33_27,50,1000,10,20,step_beta,4,7,0.6214,0.5755,0.6902753710746765,0.735649824142456,0.05313259009920829,0.04274129774995312,15.039867913722992,successful
splm_optimizer__hinge_loss__2021_06_24__14_38_58,50,1000,10,20,step_beta,4,8,0.6229,0.5765,0.7015043497085571,0.7444288730621338,0.049366164669026456,0.03972067947632387,15.885250866413116,successful
splm_optimizer__hinge_loss__2021_06_24__14_44_55,50,1000,10,20,step_beta,4,9,0.6235999999999999,0.5760000000000001,0.7094448804855347,0.7506154775619507,0.046724244298497565,0.03761543624556909,19.922985363006593,successful
splm_optimizer__hinge_loss__2021_06_24__14_52_13,50,1000,10,20,step_beta,5,10,0.6172,0.573,0.5517294406890869,0.6189120411872864,0.10138118647342932,0.08516420487918323,15.786590087413789,successful
splm_optimizer__hinge_loss__2021_06_24__14_57_58,50,1000,10,20,step_beta,5,1,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.816079008579255,successful
splm_optimizer__hinge_loss__2021_06_24__15_03_44,50,1000,10,20,step_beta,5,2,0.6172,0.5705,0.21469752490520477,0.2820606529712677,0.21005904671846326,0.1949827592427845,18.28400138616562,successful
splm_optimizer__hinge_loss__2021_06_24__15_10_31,50,1000,10,20,step_beta,5,3,0.6172,0.5705,0.22465047240257263,0.28734129667282104,0.2277621583886332,0.21196154637358436,19.50553615093231,successful
splm_optimizer__hinge_loss__2021_06_24__15_17_38,50,1000,10,20,step_beta,5,4,0.6172,0.5705,0.31446129083633423,0.39329543709754944,0.18877594739360629,0.16848646343108856,15.469616174697876,successful
splm_optimizer__hinge_loss__2021_06_24__15_23_17,50,1000,10,20,step_beta,5,5,0.6172,0.5705,0.39581137895584106,0.4776744842529297,0.15730008282631383,0.13679267422711086,15.574305880069733,successful
splm_optimizer__hinge_loss__2021_06_24__15_28_58,50,1000,10,20,step_beta,5,6,0.6172,0.571,0.4530682861804962,0.5317479968070984,0.1361860479017393,0.11680939719389348,15.615715086460114,successful
splm_optimizer__hinge_loss__2021_06_24__15_34_41,50,1000,10,20,step_beta,5,7,0.6172,0.5715,0.4918068051338196,0.5663363933563232,0.12235369542053821,0.10411481457820065,15.54526265859604,successful
splm_optimizer__hinge_loss__2021_06_24__15_40_22,50,1000,10,20,step_beta,5,8,0.6172,0.573,0.51845782995224,0.5897442102432251,0.11296617972307939,0.0956206296541305,15.68662623167038,successful
splm_optimizer__hinge_loss__2021_06_24__15_46_07,50,1000,10,20,step_beta,5,9,0.6172,0.573,0.5375406742095947,0.6064555048942566,0.10630420428941925,0.08960908815598535,15.555651152133942,successful
splm_optimizer__hinge_loss__2021_06_24__15_51_47,50,1000,10,20,step_beta,6,10,0.6172,0.5705,0.31059738993644714,0.392805278301239,0.19301549861342035,0.1727139700247075,15.478769421577454,successful
splm_optimizer__hinge_loss__2021_06_24__15_57_28,50,1000,10,20,step_beta,6,1,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.636916565895081,successful
splm_optimizer__hinge_loss__2021_06_24__16_03_11,50,1000,10,20,step_beta,6,2,0.6172,0.5705,0.2498737871646881,0.29005905985832214,0.35574487912391883,0.4424626029948165,17.050454807281493,successful
splm_optimizer__hinge_loss__2021_06_24__16_09_23,50,1000,10,20,step_beta,6,3,0.6172,0.5705,0.21559427678585052,0.28127989172935486,0.22098579070913552,0.20499319044347683,17.01929988861084,successful
splm_optimizer__hinge_loss__2021_06_24__16_15_38,50,1000,10,20,step_beta,6,4,0.6172,0.5705,0.22130395472049713,0.2818204462528229,0.23356070628185882,0.21948601555997044,16.87134656906128,successful
splm_optimizer__hinge_loss__2021_06_24__16_21_45,50,1000,10,20,step_beta,6,5,0.6172,0.5705,0.21928802132606506,0.28501561284065247,0.22909229609889978,0.2136112346864757,22.27073985338211,successful
