,K,batch_size,beta,epochs,best_train_accuracy,best_eval_accuracy,min_train_loss,min_eval_loss,std_train_loss,std_eval_loss,mean_epoch_time,status
splm_optimizer__hinge_loss__2021_06_17__16_06_56,50,20,100000,200,0.12800000000000006,0.16999999999999998,0.8031848073005676,0.8942610621452332,0.03500641877170422,0.002849150475375214,6.0534897601604465,successful
splm_optimizer__hinge_loss__2021_06_17__16_27_41,50,20,10000,200,0.38200000000000023,0.35,0.8414300084114075,0.8737910389900208,0.017587506453614038,0.011912327879987845,6.412522600889206,successful
splm_optimizer__hinge_loss__2021_06_17__16_49_39,50,20,1000,200,0.7330000000000004,0.73,0.08198432624340057,0.05835265666246414,0.26596280303946107,0.3058428310953315,6.449332132339477,successful
splm_optimizer__hinge_loss__2021_06_17__17_20_26,50,20,31623,200,0.1700000000000001,0.22999999999999998,0.814026951789856,0.8947061896324158,0.026517270395424265,0.002239028019790318,6.232278236150742,successful
splm_optimizer__hinge_loss__2021_06_17__17_41_47,50,20,3162,200,0.6490000000000005,0.56,0.8104292154312134,0.820477306842804,0.02328222927165635,0.024949997167589562,6.350802111625671,successful
splm_optimizer__hinge_loss__2021_06_17__18_03_32,50,20,316,100,0.7300000000000005,0.72,0.12642398476600647,0.0587790310382843,1.7476261777922772,0.6087451029042746,6.784890999794007,successful
splm_optimizer__hinge_loss__2021_06_17__18_18_16,50,30,100000,200,0.11515151515151519,0.12222222222222223,0.830436110496521,0.8858588933944702,0.028356890219829126,0.0019676883582616382,5.0773496603965755,successful
splm_optimizer__hinge_loss__2021_06_17__18_35_43,50,30,10000,200,0.28686868686868694,0.2777777777777778,0.8378505706787109,0.8846266269683838,0.01579044579140875,0.0021147611026406323,5.383660579919815,successful
splm_optimizer__hinge_loss__2021_06_17__18_54_12,50,30,1000,200,0.7141414141414144,0.6444444444444445,0.39543360471725464,0.4942593276500702,0.10944208374670607,0.10168653357237328,5.531008130311966,successful
splm_optimizer__hinge_loss__2021_06_17__19_23_29,50,30,31623,200,0.1646464646464646,0.19999999999999998,0.833694338798523,0.8846727609634399,0.022703404441681074,0.002444922858581679,5.382401177883148,successful
splm_optimizer__hinge_loss__2021_06_17__19_41_58,50,30,3162,200,0.5545454545454546,0.4888888888888889,0.8436698913574219,0.8563781380653381,0.016386930693611697,0.010725569165068642,5.456661311388015,successful
splm_optimizer__hinge_loss__2021_06_17__20_00_41,50,30,316,100,0.7161616161616163,0.6777777777777777,0.1084606796503067,0.19893057644367218,0.2778374787738462,0.25554016337811164,5.52571653842926,successful
splm_optimizer__hinge_loss__2021_06_17__20_13_41,50,40,100000,200,0.11400000000000005,0.11249999999999999,0.8202574849128723,0.9091278910636902,0.025290704630979845,0.0016323442434938462,5.133844460248947,successful
splm_optimizer__hinge_loss__2021_06_17__20_31_19,50,40,10000,200,0.2380000000000001,0.225,0.8569117784500122,0.8897647261619568,0.015585981171740884,0.007009657945522322,5.061523025035858,successful
splm_optimizer__hinge_loss__2021_06_17__20_48_43,50,40,1000,200,0.6970000000000004,0.625,0.682110071182251,0.7549808621406555,0.0503340903430828,0.039195024129086174,5.111679980754852,successful
splm_optimizer__hinge_loss__2021_06_17__21_06_16,50,40,100,100,0.6890000000000004,0.6625,0.14184847474098206,0.23305824398994446,3561.995908745025,6237.001766119126,5.490700798034668,successful
splm_optimizer__hinge_loss__2021_06_17__21_17_01,50,40,31623,200,0.15600000000000008,0.1875,0.8423507809638977,0.9001822471618652,0.021082513772531133,0.004853612038075158,4.925773350000381,successful
splm_optimizer__hinge_loss__2021_06_17__21_33_56,50,40,3162,200,0.48700000000000015,0.375,0.8578853011131287,0.873873233795166,0.013982327797550395,0.0091362261613717,5.03585969209671,successful
splm_optimizer__hinge_loss__2021_06_17__21_51_14,50,40,316,100,0.7070000000000004,0.6625,0.10618489980697632,0.24958160519599915,0.22097914227948992,0.18856055693846363,5.133604373931885,successful
splm_optimizer__hinge_loss__2021_06_17__22_04_08,50,50,100000,200,0.11400000000000003,0.12,0.8407808542251587,0.8935785293579102,0.023369069706655,0.0030690784091370648,4.589491908550262,successful
splm_optimizer__hinge_loss__2021_06_17__22_19_56,50,50,10000,200,0.19700000000000006,0.24000000000000002,0.8608611822128296,0.8941947817802429,0.015049143438274815,0.0019214514357142815,4.583659309148788,successful
splm_optimizer__hinge_loss__2021_06_17__22_35_43,50,50,1000,200,0.666,0.5900000000000001,0.7621691226959229,0.7906745076179504,0.03357199830349856,0.030338726444098556,4.669968030452728,successful
splm_optimizer__hinge_loss__2021_06_17__22_51_48,50,50,100,100,0.6990000000000001,0.6799999999999999,0.1503908336162567,0.1874217391014099,133.94543063311977,161.06669092762465,4.905268573760987,successful
splm_optimizer__hinge_loss__2021_06_17__23_01_41,50,50,31623,200,0.13800000000000004,0.2,0.8498519062995911,0.8937276005744934,0.019635840888940912,0.0024183358061300973,4.56723112821579,successful
splm_optimizer__hinge_loss__2021_06_17__23_17_25,50,50,3162,200,0.43900000000000006,0.37,0.8576921820640564,0.8732506632804871,0.012605537137163423,0.008650498850505485,4.572316730022431,successful
splm_optimizer__hinge_loss__2021_06_17__23_33_10,50,50,316,100,0.7050000000000001,0.6699999999999999,0.3926108181476593,0.4920153021812439,0.11629734861297603,0.10236859090600883,4.7379199671745305,successful
splm_optimizer__hinge_loss__2021_06_17__23_45_56,50,60,100000,200,0.10312500000000002,0.08333333333333333,0.8351984620094299,0.9282499551773071,0.023893879643695458,0.0013226200985823958,4.095382430553436,successful
splm_optimizer__hinge_loss__2021_06_18__00_00_03,50,60,10000,200,0.17187499999999994,0.2,0.8563948273658752,0.8963716626167297,0.015027403961583457,0.010466690263292427,4.095474342107773,successful
splm_optimizer__hinge_loss__2021_06_18__00_14_10,50,60,1000,200,0.6447916666666668,0.5166666666666667,0.8120972514152527,0.8301053643226624,0.02413561547767974,0.021436155474992467,4.119294706583023,successful
splm_optimizer__hinge_loss__2021_06_18__00_28_22,50,60,100,100,0.6854166666666667,0.65,0.18704265356063843,0.1981220245361328,12.131510534106154,7.465654468794133,4.32376296043396,successful
splm_optimizer__hinge_loss__2021_06_18__00_37_21,50,60,31623,200,0.13229166666666664,0.13333333333333333,0.8489669561386108,0.9081522822380066,0.020074230992472335,0.008487450041552911,4.045247787237168,successful
splm_optimizer__hinge_loss__2021_06_18__00_51_18,50,60,3162,200,0.3885416666666667,0.31666666666666665,0.8618674874305725,0.8824663758277893,0.01092473192859611,0.010921565293323889,4.0827322196960445,successful
splm_optimizer__hinge_loss__2021_06_18__01_05_22,50,60,316,100,0.6958333333333333,0.6333333333333333,0.6898096203804016,0.7196804881095886,0.055365623160998766,0.04843314858792833,4.247619268894195,successful
splm_optimizer__hinge_loss__2021_06_18__01_17_40,50,70,100000,200,0.0989795918367347,0.1,0.8463294506072998,0.9213612079620361,0.02107887710816693,4.043581742212579e-05,3.843322570323944,successful
splm_optimizer__hinge_loss__2021_06_18__01_30_57,50,70,10000,200,0.1663265306122449,0.15714285714285714,0.8610132932662964,0.8985434174537659,0.013565174163725572,0.007512876841957903,3.861898280382156,successful
splm_optimizer__hinge_loss__2021_06_18__01_44_17,50,70,1000,200,0.6224489795918368,0.4857142857142857,0.82703697681427,0.8446210026741028,0.020176669723633398,0.0174236888407815,3.939917733669281,successful
splm_optimizer__hinge_loss__2021_06_18__01_57_53,50,70,100,100,0.6908163265306124,0.6285714285714286,0.18313513696193695,0.20423482358455658,2.462899171876898,1.8141619733002825,4.076906294822693,successful
splm_optimizer__hinge_loss__2021_06_18__02_06_36,50,70,31623,200,0.12959183673469388,0.14285714285714285,0.8517603874206543,0.907558023929596,0.017409936493938388,0.005051048211794657,3.855024130344391,successful
splm_optimizer__hinge_loss__2021_06_18__02_19_55,50,70,3162,200,0.3622448979591837,0.24285714285714285,0.8644240498542786,0.886218786239624,0.010023677241158468,0.008750576120021364,3.8371469306945802,successful
splm_optimizer__hinge_loss__2021_06_18__02_33_11,50,70,316,100,0.6806122448979592,0.5571428571428572,0.7354231476783752,0.7723621129989624,0.04261379938213214,0.03541410403904541,3.9813435745239256,successful
splm_optimizer__hinge_loss__2021_06_18__02_45_26,50,80,100000,200,0.09583333333333334,0.1,0.8423778414726257,0.915865421295166,0.02071541220990659,0.0001289182127925768,3.6681687164306642,successful
splm_optimizer__hinge_loss__2021_06_18__02_58_07,50,80,10000,200,0.17083333333333336,0.1875,0.858356773853302,0.8945605158805847,0.01448486171702763,0.00777862018865006,3.748216527700424,successful
splm_optimizer__hinge_loss__2021_06_18__03_11_05,50,80,1000,200,0.5885416666666667,0.5,0.838474690914154,0.8518523573875427,0.017176523206723707,0.01404223313983502,3.740930403470993,successful
splm_optimizer__hinge_loss__2021_06_18__03_24_01,50,80,100,100,0.6812499999999999,0.675,0.175933837890625,0.20738248527050018,0.5977898523980117,0.450685749602184,3.9007414531707765,successful
splm_optimizer__hinge_loss__2021_06_18__03_32_33,50,80,31623,200,0.11875,0.1125,0.8469182252883911,0.9029425978660583,0.018078646986959785,0.004370659595725188,3.6769637596607208,successful
splm_optimizer__hinge_loss__2021_06_18__03_45_17,50,80,3162,200,0.32708333333333334,0.275,0.8690642714500427,0.8864592909812927,0.010397441612088679,0.007349724539667601,3.7644476532936095,successful
splm_optimizer__hinge_loss__2021_06_18__03_58_18,50,80,316,100,0.6541666666666667,0.525,0.7856079936027527,0.8020036816596985,0.03160120115564682,0.027071017901262998,3.7993881034851076,successful
splm_optimizer__hinge_loss__2021_06_18__04_10_53,50,90,100000,200,0.09393939393939396,0.1,0.8526033163070679,0.9166243672370911,0.01818623383520965,0.00015185308126442848,3.587783385515213,successful
